X,Y,Z,T,M
92.53903,18.90879,-39.16556,3827.02,0.44169426
170.07805,35.02772,48.07714,3827.02,-0.9185351
14.02741,2.89454,37.95539,3827.02,3.3490846
76.92552,16.00885,16.66399,3827.02,0.98584676
98.63631,20.61787,35.83969,3827.02,0.96405804
49.62504,10.39881,22.85847,3827.02,0.35394844
135.74419,28.4782,16.394,3827.02,0.25456512
114.69665,24.23311,-38.22889,3827.02,0.24510427
62.98787,13.32156,237.74234,3827.02,-1.5373698
135.21906,28.75249,-55.07606,3827.02,-0.29315364
19.88073,4.23919,65.16233,3827.02,1.6891881
196.74612,42.07912,25.77347,3827.02,-0.6157654
7.26388,1.55643,0.68697,3827.02,6.376172
15.95282,3.43348,-60.57583,3827.02,1.1024415
90.64277,19.54864,12.34802,3827.02,-0.41511148
73.53764,15.91055,92.80722,3827.02,-0.4863727
79.79358,17.30505,-86.63633,3827.02,0.90139645
22.36466,4.85364,6.97102,3827.02,3.1758814
3.09817,0.67388,5.03807,3827.02,4.586417
50.37283,10.99033,-23.10239,3827.02,2.1398664
94.77062,20.76121,-23.40127,3827.02,0.5943386
235.9575,51.83253,-104.35286,3827.02,-0.83108205
153.34769,33.86569,136.8955,3827.02,-2.063794
91.95962,20.33861,49.46823,3827.02,0.41563928
68.80389,15.27317,-66.6366,3827.02,1.5562934
14.8304,3.29656,-2.85518,3827.02,4.224186
62.68076,13.98311,64.22656,3827.02,1.3389366
47.02648,10.57318,-59.49481,3827.02,0.81971586
105.70678,23.78629,224.60844,3827.02,-1.6342782
40.47234,9.14949,52.17969,3827.02,2.2604563
351.67307,80.01611,672.78534,3827.02,-3.3736436
133.88531,30.48262,8.12215,3827.02,0.69767207
213.33575,48.82434,275.8394,3827.02,-1.5134083
136.42326,31.92035,-62.39741,3827.02,-0.45876202
154.96448,36.49512,-3.17979,3827.02,-1.2302018
8.72854,2.05816,16.26115,3827.02,3.4559286
65.79209,15.55458,-31.2053,3827.02,2.08038
88.61267,21.05751,69.68231,3827.02,0.7725824
83.37637,19.87445,-167.2904,3827.02,-0.64044183
50.30007,12.02773,67.86354,3827.02,1.6146381
111.71878,26.97243,-17.6698,3827.02,0.82249224
103.3536,25.09315,37.01306,3827.02,0.54206485
8.00582,1.95454,74.73498,3827.02,1.2092582
34.64148,8.47143,15.60155,3827.02,2.5088205
62.42789,15.27693,106.84821,3827.02,-0.64912814
21.89052,5.35708,-60.3632,3827.02,1.4044586
157.95589,38.71516,184.97955,3827.02,-0.67736983
156.60477,38.49791,73.68791,3827.02,-0.05360448
147.19199,36.49909,-19.55335,3827.02,-0.04211126
490.60886,122.15313,-266.29337,3827.02,-2.6748097
72.27366,18.01159,38.29506,3827.02,1.4650216
152.49538,38.0391,-31.30975,3827.02,-0.67407703
144.62585,36.16119,37.03661,3827.02,0.5279049
78.36989,19.61808,129.27081,3827.02,0.2845192
31.36011,7.91594,54.21663,3827.02,0.6187759
89.14103,22.51822,163.94968,3827.02,-4.220442
31.70681,8.01593,26.01355,3827.02,0.7547135
90.28351,22.83784,163.68633,3827.02,-0.8145274
20.97505,5.31885,55.7185,3827.02,2.5074797
66.16014,16.8662,29.57085,3827.02,0.041996345
81.74064,20.88312,154.8794,3827.02,0.20791529
90.93516,23.37381,96.68325,3827.02,0.4520195
182.93332,47.16997,104.6849,3827.02,-1.232095
150.75583,38.92396,37.94363,3827.02,0.27592295
46.70611,12.13047,32.48892,3827.02,2.1663795
118.24809,30.75447,47.89369,3827.02,0.87977487
80.96594,21.07859,-149.06625,3827.02,0.06577933
44.76532,11.68482,105.65464,3827.02,0.6600955
173.86317,45.45469,-101.08388,3827.02,-2.2712913
91.62569,24.00826,-19.06416,3827.02,0.69470173
312.6845,83.53197,36.77932,3827.02,-1.4243082
88.45029,23.72464,90.66491,3827.02,0.1393086
34.2653,9.26384,102.98714,3827.02,1.2142134
144.58403,39.62408,-121.03837,3827.02,-0.8341632
176.74461,48.5597,214.9455,3827.02,-0.7749837
78.6955,21.69236,-23.81685,3827.02,1.8220366
59.22994,16.43433,-94.66068,3827.02,0.8571686
117.39318,32.72587,150.6841,3827.02,0.043248508
57.03502,15.93509,-36.36364,3827.02,1.290304
98.506,27.64933,-224.05008,3827.02,-0.7073698
103.95528,29.22937,66.9657,3827.02,-0.020126337
47.90095,13.46883,-52.24674,3827.02,1.0988162
